country,spending,lifespan
Australia,3.357,81.4
Austria,3.763,80.1
Belgium,3.595,79.8
Canada,3.895,80.7
Czech,1.626,77.0
Denmark,3.512,78.4
Finland,2.84,79.5
France,3.601,81.0
Germany,3.588,80.0
Greece,2.727,79.5
Hungary,1.388,73.3
Iceland,3.319,81.2
Ireland,3.424,79.7
Italy,2.686,81.4
Japan,2.581,82.6
Korea,1.688,79.4
Luxembourg,4.162,79.4
Mexico,0.823,75.0
Netherlands,3.837,80.2
N.Zealand,2.454,80.2
Norway,4.763,80.6
Poland,1.035,75.4
Portugal,2.15,79.1
Slovakia,1.555,74.3
Spain,2.671,81.0
Sweden,3.323,81.0
Switzerland,4.417,81.9
Turkey,0.618,73.4
UK,2.992,79.5
USA,7.29,78.1
